Canto 10 | 22 (11.0)
Canto 10 | ↑ (11.0)
Canto 11 | 30 (7.5)
Canto 11 | ↑ (7.5)
Canto 11 | ↑ (7.5)
Canto 11 | ↑ (7.5)
Canto 12 | 17 (8.5)
Canto 12 | ↑ (8.5)
Canto 13 | 30 (7.5)
Canto 13 | ↑ (7.5)
Canto 13 | ↑ (7.5)
Canto 13 | ↑ (7.5)
Canto 14 | 18 (9.0)
Canto 14 | ↑ (9.0)
Canto 15 | 28 (7.0)
Canto 15 | ↑ (7.0)
Canto 15 | ↑ (7.0)
Canto 15 | ↑ (7.0)
Canto 16 | 32 (8.0)
Canto 16 | ↑ (8.0)
Canto 16 | ↑ (8.0)
Canto 16 | ↑ (8.0)
Canto 17 | 29 (7.25)
Canto 17 | ↑ (7.25)
Canto 17 | ↑ (7.25)
Canto 17 | ↑ (7.25)
Canto 18 | 22 (11.0)
Canto 18 | ↑ (11.0)
Canto 19 | 15 (7.5)
Canto 19 | ↑ (7.5)
Canto 20 | 19 (9.5)
Canto 20 | ↑ (9.5)
Canto 21 | 23 (5.75)
Canto 21 | ↑ (5.75)
Canto 21 | ↑ (5.75)
Canto 21 | ↑ (5.75)
Canto 22 | 20 (10.0)
Canto 22 | ↑ (10.0)
Canto 23 | 33 (8.25)
Canto 23 | ↑ (8.25)
Canto 23 | ↑ (8.25)
Canto 23 | ↑ (8.25)
Canto 24 | 30 (7.5)
Canto 24 | ↑ (7.5)
Canto 24 | ↑ (7.5)
Canto 24 | ↑ (7.5)
